PERIOD _YEAR, Sales , Raw_Material_Cost , Change in Inventory ,Powe_ and_Fuel, Other_Mfr_Exp , Employee_Cost ,Selling_and_admin,Other_Expenses,Other_Income,Depreciation,Interest,Profit_before_tax,Tax,Net_profit,Dividend_Amount
Mar-16,63161.56,0.00,0.00,0.00,1041.79,6309.03,3043.15,9660.65,11211.65,738.03,34069.57,19510.99,6693.66,12801.33,2401.79
Mar-17,73271.35,0.00,0.00,0.00,1271.80,8508.22,3328.39,10747.28,12905.08,886.19,38041.58,23392.97,8078.12,15280.48,2818.80
Mar-18,85287.84,0.00,0.00,0.00,1314.97,9197.15,3658.43,15361.71,16056.60,966.78,42381.48,28463.92,9903.08,18510.02,3373.63
Mar-19,105160.74,0.00,0.00,0.00,1283.53,10454.75,3900.17,19217.82,18947.05,1220.67,53712.69,34318.16,11872.55,22332.43,4084.95
Mar-20,122189.29,0.00,0.00,0.00,1293.44,12924.10,4192.15,27049.52,24878.97,1276.77,62137.42,38194.86,10898.59,27253.95,1370.82
Mar-21,128552.40,0.00,0.00,0.00,1649.11,13682.35,4780.54,32344.53,27332.88,1385.01,59247.59,42796.15,10939.38,31833.21,3583.32
Mar-22,135936.41,0.00,0.00,0.00,1772.27,15904.81,5406.79,33473.09,31758.99,1680.73,58584.33,50873.38,12722.48,38052.75,8595.52
Mar-23,170754.05,0.00,0.00,0.00,2176.50,20031.36,6580.00,34254.44,33912.05,2345.47,77779.94,61498.39,15349.69,45997.11,10601.43
Mar-24,283649.02,0.00,0.00,0.00,3255.75,31050.07,87580.05,52309.67,124345.75,3092.08,154138.55,76568.60,11122.10,64062.04,14813.96
Mar-25,336367.43,0.00,0.00,0.00,0.00,34135.75,0.00,156643.93,134548.50,0.00,183894.20,96242.05,22801.88,70792.25,16834.84
